song,album_name,date_of_release,duration,popularity,tempo,danceability,loudness,artist_name
Yummy,Yummy,2020-01-03,3.51,79,145.921,0.687,-6.612,Justin Bieber
One Man Band,Old Dominion,2019-10-25,3.1,77,75.991,0.706,-8.331,Old Dominion
Got What I Got,9,2019-11-22,2.97,77,159.847,0.512,-6.658,Jason Aldean
Sunday Best,Where the Light Is,2019-01-06,2.64,86,112.022,0.878,-6.832,Surfaces
Godzilla,Music To Be Murdered By,2020-01-17,3.51,87,165.995,0.808,-5.26,Eminem Featuring Juice WRLD
Bandit,Bandit (with YoungBoy Never Broke Again),2019-10-04,3.16,85,180.051,0.474,-5.884,Juice WRLD & YoungBoy Never Broke Again
Party Girl,Party Girl,2020-04-21,2.46,84,130.022,0.728,-9.966,StaySolidRocky
Die From A Broken Heart,Die From A Broken Heart,2018-10-19,3.14,69,75.978,0.607,-6.631,Maddie & Tae
Popstar,POPSTAR (feat. Drake),2020-07-17,3.34,89,163.071,0.8,-4.818,DJ Khaled Featuring Drake
All I Want for Christmas Is You,Merry Christmas,1994-11-01,4.02,97,150.273,0.336,-7.463,
One Of Them Girls,One Of Them Girls,2020-04-10,3.15,80,95.987,0.643,-6.079,Lee Brice
Hard To Forget,SOUTHSIDE,2020-04-03,3.41,73,130.069,0.689,-5.517,Sam Hunt
One Margarita,One Margarita,2020-03-13,3.22,71,89.997,0.641,-4.872,Luke Bryan
Panini,Panini,2019-09-13,1.91,76,153.848,0.703,-6.146,Lil Nas X
Hot,So Much Fun,2019-08-16,3.22,76,111.997,0.855,-8.044,Young Thug Featuring Gunna
I Hope You're Happy Now,Hey World,2020-11-20,3.33,48,118.02,0.592,-5.787,Carly Pearce & Lee Brice
Emotionally Scarred,My Turn,2020-02-28,3.29,76,88.284,0.585,-4.269,Lil Baby
Suicidal,Suicidal (Remix) [feat. Juice WRLD],2020-03-13,3.76,82,139.957,0.655,-5.245,YNW Melly & Juice WRLD
The Bigger Picture,The Bigger Picture,2020-06-12,4.21,77,96.459,0.59,-5.756,Lil Baby
Only Human,Happiness Begins,2019-06-07,3.05,77,94.01,0.795,-5.883,Jonas Brothers
The Woo,Shoot For The Stars Aim For The Moon,2020-07-03,3.36,87,99.7,0.49,-5.655,Pop Smoke Featuring 50 Cent & Roddy Ricch
Sum 2 Prove,Sum 2 Prove,2020-01-10,3.43,75,124.038,0.823,-7.57,Lil Baby
Stuck with U,Stuck with U,2020-05-08,3.81,89,178.765,0.597,-6.658,
